date,NO2
2023-10-01 00:00:00,3.2871896e-05
2023-10-02 00:00:00,4.1522664e-05
2023-10-03 00:00:00,2.8801882e-05
2023-10-04 00:00:00,3.04286e-05
2023-10-05 00:00:00,3.7218502e-05
2023-10-06 00:00:00,3.511477e-05
2023-10-07 00:00:00,3.0070074e-05
2023-10-08 00:00:00,2.5025383e-05
2023-10-09 00:00:00,3.4926947e-05
2023-10-10 00:00:00,4.1154184e-05
2023-10-11 00:00:00,3.3168093e-05
2023-10-12 00:00:00,4.2756958e-05
2023-10-13 00:00:00,4.263387e-05
2023-10-14 00:00:00,2.8938724e-05
2023-10-15 00:00:00,1.4028082e-05
2023-10-16 00:00:00,3.9392384e-05
2023-10-17 00:00:00,4.4418834e-05
2023-10-18 00:00:00,4.375068e-05
2023-10-19 00:00:00,3.257925e-05
2023-10-20 00:00:00,4.7279384e-05
2023-10-21 00:00:00,3.3631004e-05
2023-10-22 00:00:00,4.121522e-05
2023-10-23 00:00:00,4.2627413e-05
2023-10-24 00:00:00,4.4342898e-05
2023-10-25 00:00:00,4.6058387e-05
2023-10-26 00:00:00,3.699214e-05
2023-10-27 00:00:00,6.360757e-05
2023-10-28 00:00:00,6.317624e-05
2023-10-29 00:00:00,4.247083e-05
2023-10-30 00:00:00,3.8735972e-05
2023-10-31 00:00:00,3.5001107e-05
2023-11-01 00:00:00,3.2191976e-05
2023-11-02 00:00:00,3.4098673e-05
2023-11-03 00:00:00,4.4482913e-05
2023-11-04 00:00:00,5.4867156e-05
2023-11-05 00:00:00,6.5251385e-05
2023-11-06 00:00:00,5.0721974e-05
2023-11-07 00:00:00,4.0754574e-05
2023-11-08 00:00:00,4.8298272e-05
2023-11-09 00:00:00,3.7483125e-05
2023-11-10 00:00:00,4.1870822e-05
2023-11-12 00:00:00,4.196039e-05
2023-11-13 00:00:00,4.2049956e-05
2023-11-14 00:00:00,4.157519e-05
2023-11-15 00:00:00,4.110043e-05
2023-11-16 00:00:00,4.1326268e-05
2023-11-17 00:00:00,3.0245832e-05
2023-11-18 00:00:00,2.6591784e-05
2023-11-19 00:00:00,2.3140681e-05
2023-11-20 00:00:00,4.1373216e-05
2023-11-21 00:00:00,4.073484e-05
2023-11-22 00:00:00,3.4897133e-05
2023-11-23 00:00:00,3.1497962e-05
2023-11-24 00:00:00,2.8098797e-05
2023-11-25 00:00:00,2.4699628e-05
2023-11-26 00:00:00,2.1300462e-05
2023-11-27 00:00:00,2.188278e-05
2023-11-28 00:00:00,2.2465096e-05
2023-11-29 00:00:00,2.3047412e-05
2023-11-30 00:00:00,2.3629731e-05
2023-12-01 00:00:00,2.3847566e-05
2023-12-02 00:00:00,2.4065399e-05
2023-12-03 00:00:00,2.4283236e-05
2023-12-04 00:00:00,2.4501069e-05
2023-12-05 00:00:00,2.4718905e-05
2023-12-06 00:00:00,2.5347652e-05
2023-12-07 00:00:00,2.59764e-05
2023-12-08 00:00:00,2.8282717e-05
2023-12-09 00:00:00,2.462214e-05
2023-12-10 00:00:00,2.1821666e-05
2023-12-11 00:00:00,1.9021194e-05
2023-12-12 00:00:00,2.5174582e-05
2023-12-13 00:00:00,2.995698e-05
2023-12-14 00:00:00,2.729733e-05
2023-12-15 00:00:00,2.4637682e-05
2023-12-16 00:00:00,1.950361e-05
2023-12-17 00:00:00,1.9046744e-05
2023-12-18 00:00:00,2.3059063e-05
2023-12-19 00:00:00,3.0143212e-05
2023-12-20 00:00:00,2.2958327e-05
2023-12-21 00:00:00,1.580064e-05
2023-12-22 00:00:00,1.8465793e-05
2023-12-23 00:00:00,2.3361505e-05
2023-12-24 00:00:00,2.1839141e-05
2023-12-25 00:00:00,2.352217e-05
2023-12-26 00:00:00,2.52052e-05
2023-12-27 00:00:00,3.1334188e-05
2023-12-28 00:00:00,3.154637e-05
2023-12-29 00:00:00,3.175855e-05
2023-12-30 00:00:00,2.9472161e-05
2023-12-31 00:00:00,1.8299083e-05
2024-01-02 00:00:00,1.8155008e-05
2024-01-03 00:00:00,1.8010935e-05
2024-01-04 00:00:00,1.7866862e-05
2024-01-05 00:00:00,2.0688503e-05
2024-01-06 00:00:00,2.2789525e-05
2024-01-07 00:00:00,2.4890545e-05
2024-01-08 00:00:00,2.6991565e-05
2024-01-09 00:00:00,2.9092584e-05
2024-01-10 00:00:00,2.8448525e-05
2024-01-11 00:00:00,2.320973e-05
2024-01-12 00:00:00,1.9691104e-05
2024-01-13 00:00:00,2.3306908e-05
2024-01-14 00:00:00,1.4248593e-05
2024-01-15 00:00:00,1.2239227e-05
