date,NO2
2023-10-01,3.2871896e-05
2023-10-02,4.1522664e-05
2023-10-03,2.8801882e-05
2023-10-04,3.04286e-05
2023-10-05,3.7218502e-05
2023-10-06,3.511477e-05
2023-10-07,3.0070074e-05
2023-10-08,2.5025383e-05
2023-10-09,3.4926947e-05
2023-10-10,4.1154184e-05
2023-10-11,3.3168093e-05
2023-10-12,4.2756958e-05
2023-10-13,4.263387e-05
2023-10-14,2.8938724e-05
2023-10-15,1.4028082e-05
2023-10-16,3.9392384e-05
2023-10-17,4.4418834e-05
2023-10-18,4.375068e-05
2023-10-19,3.257925e-05
2023-10-20,4.7279384e-05
2023-10-21,3.3631004e-05
2023-10-22,4.121522e-05
2023-10-23,4.2627413e-05
2023-10-24,4.4342898e-05
2023-10-25,4.6058387e-05
2023-10-26,3.699214e-05
2023-10-27,6.360757e-05
2023-10-28,6.317624e-05
2023-10-29,4.247083e-05
2023-10-30,3.8735972e-05
2023-10-31,3.5001107e-05
2023-11-01,3.2191976e-05
2023-11-02,3.4098673e-05
2023-11-03,4.4482913e-05
2023-11-04,5.4867156e-05
2023-11-05,6.5251385e-05
2023-11-06,5.0721974e-05
2023-11-07,4.0754574e-05
2023-11-08,4.8298272e-05
2023-11-09,3.7483125e-05
2023-11-10,4.1870822e-05
2023-11-11,4.1915606e-05
2023-11-12,4.196039e-05
2023-11-13,4.2049956e-05
2023-11-14,4.157519e-05
2023-11-15,4.110043e-05
2023-11-16,4.1326268e-05
2023-11-17,3.0245832e-05
2023-11-18,2.6591784e-05
2023-11-19,2.3140681e-05
2023-11-20,4.1373216e-05
2023-11-21,4.073484e-05
2023-11-22,3.4897133e-05
2023-11-23,3.1497962e-05
2023-11-24,2.8098797e-05
2023-11-25,2.4699628e-05
2023-11-26,2.1300462e-05
2023-11-27,2.188278e-05
2023-11-28,2.2465096e-05
2023-11-29,2.3047412e-05
2023-11-30,2.3629731e-05
2023-12-01,2.3847566e-05
2023-12-02,2.4065399e-05
2023-12-03,2.4283236e-05
2023-12-04,2.4501069e-05
2023-12-05,2.4718905e-05
2023-12-06,2.5347652e-05
2023-12-07,2.59764e-05
2023-12-08,2.8282717e-05
2023-12-09,2.462214e-05
2023-12-10,2.1821666e-05
2023-12-11,1.9021194e-05
2023-12-12,2.5174582e-05
2023-12-13,2.995698e-05
2023-12-14,2.729733e-05
2023-12-15,2.4637682e-05
2023-12-16,1.950361e-05
2023-12-17,1.9046744e-05
2023-12-18,2.3059063e-05
2023-12-19,3.0143212e-05
2023-12-20,2.2958327e-05
2023-12-21,1.580064e-05
2023-12-22,1.8465793e-05
2023-12-23,2.3361505e-05
2023-12-24,2.1839141e-05
2023-12-25,2.352217e-05
2023-12-26,2.52052e-05
2023-12-27,3.1334188e-05
2023-12-28,3.154637e-05
2023-12-29,3.175855e-05
2023-12-30,2.9472161e-05
2023-12-31,1.8299083e-05
2024-01-01,1.82270455e-05
2024-01-02,1.8155008e-05
2024-01-03,1.8010935e-05
2024-01-04,1.7866862e-05
2024-01-05,2.0688503e-05
2024-01-06,2.2789525e-05
2024-01-07,2.4890545e-05
2024-01-08,2.6991565e-05
2024-01-09,2.9092584e-05
2024-01-10,2.8448525e-05
2024-01-11,2.320973e-05
2024-01-12,1.9691104e-05
2024-01-13,2.3306908e-05
2024-01-14,1.4248593e-05
2024-01-15,1.2239227e-05
2024-01-16,1.0229862e-05
2024-01-17,8.313572e-06
2024-01-18,6.3972825e-06
2024-01-19,4.4809935e-06
2024-01-20,2.5647048e-06
2024-01-21,-7.180586e-07
2024-01-22,1.3943443e-05
2024-01-23,1.7190228e-05
2024-01-24,2.0437017e-05
2024-01-25,1.7981087e-05
2024-01-26,2.3354614e-05
2024-01-27,2.8728142e-05
2024-01-28,2.4784526e-05
2024-01-29,2.0840911e-05
2024-01-30,1.6897297e-05
2024-01-31,1.2953678e-05
2024-02-01,1.3669762e-05
2024-02-02,1.4385844e-05
2024-02-03,1.5101926e-05
2024-02-04,1.5818006e-05
2024-02-05,1.4693929e-05
2024-02-06,1.5139002e-05
2024-02-07,1.5584075e-05
2024-02-08,1.6029147e-05
2024-02-09,1.6474221e-05
2024-02-10,1.7213773e-05
2024-02-11,1.7953325e-05
2024-02-12,2.2282367e-05
2024-02-13,1.2035752e-05
2024-02-14,2.1479329e-05
2024-02-15,2.2652493e-05
2024-02-16,2.7059777e-05
2024-02-17,2.340003e-05
2024-02-18,1.9740286e-05
2024-02-19,1.5196467e-05
2024-02-20,1.7225018e-05
2024-02-21,2.0536767e-05
2024-02-22,1.9703773e-05
2024-02-23,1.9099347e-05
2024-02-24,1.8494922e-05
2024-02-25,1.7890497e-05
2024-02-26,1.7286073e-05
2024-02-27,2.230355e-05
2024-02-28,2.2181915e-05
2024-02-29,2.2060285e-05
2024-03-01,2.1938651e-05
2024-03-02,2.1817019e-05
2024-03-03,2.1695387e-05
2024-03-04,2.1595179e-05
2024-03-05,2.2480199e-05
2024-03-06,2.7709113e-05
2024-03-07,2.7726612e-05
2024-03-08,2.6989559e-05
2024-03-09,2.6355798e-05
2024-03-10,2.5722036e-05
2024-03-11,2.5088273e-05
2024-03-12,2.4454512e-05
2024-03-13,2.382075e-05
2024-03-14,2.3186987e-05
2024-03-15,2.2553228e-05
2024-03-16,2.1919464e-05
2024-03-17,2.1285701e-05
2024-03-18,2.065194e-05
2024-03-19,2.376623e-05
2024-03-20,1.6089813e-05
2024-03-21,2.1101983e-05
2024-03-22,2.6114152e-05
2024-03-23,2.53701755e-05
2024-03-24,2.4626199e-05
2024-03-25,2.1653485e-05
2024-03-26,2.3043518e-05
2024-03-27,2.4433546e-05
2024-03-28,2.0952473e-05
2024-03-29,1.74714e-05
2024-03-30,1.0945746e-05
2024-03-31,1.6541388e-05
2024-04-01,1.7429293e-05
2024-04-02,1.8317201e-05
2024-04-03,1.9871759e-05
2024-04-04,1.9609164e-05
2024-04-05,1.2152655e-05
2024-04-06,4.696144e-06
